Date-Time,"S-W-AHU-1 Control Temperature (No Units)"
2024-12-30 22:50:07,72.5
2024-12-30 22:55:07,69.5
2024-12-30 23:00:07,68.5
2024-12-30 23:05:07,72
2024-12-30 23:10:07,71.5
2024-12-30 23:15:07,69.5
2024-12-30 23:20:07,69
2024-12-30 23:25:07,72.5
2024-12-30 23:30:07,71
2024-12-30 23:35:07,69
2024-12-30 23:40:07,70
2024-12-30 23:45:07,73
2024-12-30 23:50:07,70.5
2024-12-30 23:55:07,68.5
2024-12-31 00:00:07,71
2024-12-31 00:05:07,72.5
2024-12-31 00:10:07,69.5
2024-12-31 00:15:07,68.5
2024-12-31 00:20:07,72
2024-12-31 00:25:07,71.5
2024-12-31 00:30:07,69
2024-12-31 00:35:07,69
2024-12-31 00:40:07,72.5
2024-12-31 00:45:07,71
2024-12-31 00:50:07,69
2024-12-31 00:55:07,70
2024-12-31 01:00:07,73
2024-12-31 01:05:07,70
2024-12-31 01:10:07,68.5
2024-12-31 01:15:07,71
2024-12-31 01:20:07,72.5
2024-12-31 01:25:07,69.5
2024-12-31 01:30:07,68.5
2024-12-31 01:35:07,72
2024-12-31 01:40:07,71.5
2024-12-31 01:45:07,69
2024-12-31 01:50:07,69
2024-12-31 01:55:07,73
2024-12-31 02:00:07,70.5
2024-12-31 02:05:07,68.5
2024-12-31 02:10:07,70.5
2024-12-31 02:15:07,72.5
2024-12-31 02:20:07,70
2024-12-31 02:25:07,68.5
2024-12-31 02:30:07,71.5
2024-12-31 02:35:07,72
2024-12-31 02:40:07,69.5
2024-12-31 02:45:07,68.5
2024-12-31 02:50:07,72.5
2024-12-31 02:55:07,71.5
2024-12-31 03:00:07,69
2024-12-31 03:05:07,69.5
2024-12-31 03:10:07,73
2024-12-31 03:15:07,70.5
2024-12-31 03:20:07,68.5
2024-12-31 03:25:07,70.5
2024-12-31 03:30:07,72.5
2024-12-31 03:35:07,70
2024-12-31 03:40:07,68.5
2024-12-31 03:45:07,71.5
2024-12-31 03:50:07,72
2024-12-31 03:55:07,69.5
2024-12-31 04:00:07,68.5
2024-12-31 04:05:07,72.5
2024-12-31 04:10:07,71
2024-12-31 04:15:07,69
2024-12-31 04:20:07,69.5
2024-12-31 04:25:07,73
2024-12-31 04:30:07,70.5
2024-12-31 04:35:07,68.5
2024-12-31 04:40:07,70.5
2024-12-31 04:45:07,72.5
2024-12-31 04:50:07,70
2024-12-31 04:55:07,68.5
2024-12-31 05:00:07,71.5
2024-12-31 05:05:07,72
2024-12-31 05:10:07,69.5
2024-12-31 05:15:07,69
2024-12-31 05:20:07,72.5
2024-12-31 05:25:07,71
2024-12-31 05:30:07,69
2024-12-31 05:35:07,70
2024-12-31 05:40:07,73
2024-12-31 05:45:07,70.5
2024-12-31 05:50:07,68.5
2024-12-31 05:55:07,71
2024-12-31 06:00:07,72.5
2024-12-31 06:05:07,69.5
2024-12-31 06:10:07,68.5
2024-12-31 06:15:07,72
2024-12-31 06:20:07,71.5
2024-12-31 06:25:07,69
2024-12-31 06:30:07,69.5
2024-12-31 06:35:07,73
2024-12-31 06:40:07,70.5
2024-12-31 06:45:07,68.5
2024-12-31 06:50:07,70.5
2024-12-31 06:55:07,73
2024-12-31 07:00:07,70
2024-12-31 07:05:07,68
2024-12-31 07:10:07,71.5
2024-12-31 07:15:07,72.5
2024-12-31 07:20:07,69.5
2024-12-31 07:25:07,68.5
2024-12-31 07:30:07,72
2024-12-31 07:35:07,71.5
2024-12-31 07:40:07,69
2024-12-31 07:45:07,69.5
2024-12-31 07:50:07,73
2024-12-31 07:55:07,70.5
2024-12-31 08:00:07,68.5
2024-12-31 08:05:07,70.5
2024-12-31 08:10:07,73
2024-12-31 08:15:07,70
2024-12-31 08:20:07,68.5
2024-12-31 08:25:07,71.5
2024-12-31 08:30:07,72.5
2024-12-31 08:35:07,69.5
2024-12-31 08:40:07,68.5
2024-12-31 08:45:07,72
2024-12-31 08:50:07,71.5
2024-12-31 08:55:07,69.5
2024-12-31 09:00:07,69
2024-12-31 09:05:07,73
2024-12-31 09:10:07,71
2024-12-31 09:15:07,69
2024-12-31 09:20:07,69
