Date-Time,"Space Temperature (No Units)"
2024-12-13 13:00:09,68.5
2024-12-13 13:05:09,68.5
2024-12-13 13:10:09,69
2024-12-13 13:15:09,69
2024-12-13 13:20:09,69
2024-12-13 13:25:09,69
2024-12-13 13:30:09,69
2024-12-13 13:35:09,69
2024-12-13 13:40:09,69
2024-12-13 13:45:09,69
2024-12-13 13:50:09,69
2024-12-13 13:55:09,69
2024-12-13 14:00:09,69
2024-12-13 14:05:09,69
2024-12-13 14:10:09,69
2024-12-13 14:15:09,69
2024-12-13 14:20:09,69
2024-12-13 14:25:09,69
2024-12-13 14:30:09,69
2024-12-13 14:35:09,69
2024-12-13 14:40:09,69
2024-12-13 14:45:09,69
2024-12-13 14:50:09,69
2024-12-13 14:55:09,69
2024-12-13 15:00:09,69
2024-12-13 15:05:09,68.5
2024-12-13 15:10:09,69
2024-12-13 15:15:09,69
2024-12-13 15:20:09,69
2024-12-13 15:25:09,69
2024-12-13 15:30:09,69
2024-12-13 15:35:09,69
2024-12-13 15:40:09,69
2024-12-13 15:45:09,69
2024-12-13 15:50:09,69
2024-12-13 15:55:09,68.5
2024-12-13 16:00:09,69
2024-12-13 16:05:09,69
2024-12-13 16:10:09,69
2024-12-13 16:15:09,69
2024-12-13 16:20:09,69
2024-12-13 16:25:09,69
2024-12-13 16:30:09,69
2024-12-13 16:35:09,69
2024-12-13 16:40:09,68.5
2024-12-13 16:45:09,69
2024-12-13 16:50:09,69
2024-12-13 16:55:09,69
2024-12-13 17:00:09,69
2024-12-13 17:05:09,69
2024-12-13 17:10:09,69
2024-12-13 17:15:09,69
2024-12-13 17:20:09,69
2024-12-13 17:25:09,69
2024-12-13 17:30:09,69
2024-12-13 17:35:09,69
2024-12-13 17:40:09,69
2024-12-13 17:45:09,69
2024-12-13 17:50:09,68.5
2024-12-13 17:55:09,69
2024-12-13 18:00:09,69
2024-12-13 18:05:09,68.5
2024-12-13 18:10:09,68.5
2024-12-13 18:15:09,69
2024-12-13 18:20:09,69
2024-12-13 18:25:09,68.5
2024-12-13 18:30:09,69
2024-12-13 18:35:09,69
2024-12-13 18:40:09,69
2024-12-13 18:45:09,68.5
2024-12-13 18:50:09,69
2024-12-13 18:55:09,69
2024-12-13 19:00:09,68.5
2024-12-13 19:05:09,68.5
2024-12-13 19:10:09,69
2024-12-13 19:15:09,69
2024-12-13 19:20:09,68.5
2024-12-13 19:25:09,68.5
2024-12-13 19:30:09,69
2024-12-13 19:35:09,69
2024-12-13 19:40:09,68.5
2024-12-13 19:45:09,69
2024-12-13 19:50:09,69
2024-12-13 19:55:09,68.5
2024-12-13 20:00:09,68.5
2024-12-13 20:05:09,69
2024-12-13 20:10:09,68.5
2024-12-13 20:15:09,68.5
2024-12-13 20:20:09,68.5
2024-12-13 20:25:09,69
2024-12-13 20:30:09,69
2024-12-13 20:35:09,68.5
2024-12-13 20:40:09,69
2024-12-13 20:45:09,69
2024-12-13 20:50:09,68.5
2024-12-13 20:55:09,68.5
2024-12-13 21:00:09,69
2024-12-13 21:05:09,69
2024-12-13 21:10:09,68.5
2024-12-13 21:15:09,68.5
2024-12-13 21:20:09,69
2024-12-13 21:25:09,69
2024-12-13 21:30:09,69
2024-12-13 21:35:09,69
2024-12-13 21:40:09,69
2024-12-13 21:45:09,69
2024-12-13 21:50:09,69
2024-12-13 21:55:09,69
2024-12-13 22:00:09,69
2024-12-13 22:05:09,69
2024-12-13 22:10:09,68.5
2024-12-13 22:15:09,69
2024-12-13 22:20:09,69
2024-12-13 22:25:09,69
2024-12-13 22:30:09,68.5
2024-12-13 22:35:09,69
2024-12-13 22:40:09,69
2024-12-13 22:45:09,69
2024-12-13 22:50:09,69
2024-12-13 22:55:09,69
2024-12-13 23:00:09,69
2024-12-13 23:05:09,69
2024-12-13 23:10:09,69
2024-12-13 23:15:09,69
2024-12-13 23:20:09,69
2024-12-13 23:25:09,69
2024-12-13 23:30:09,69
2024-12-13 23:35:09,69
2024-12-13 23:40:09,69
2024-12-13 23:45:09,69
2024-12-13 23:50:09,69
2024-12-13 23:55:09,69
2024-12-14 00:00:09,69
2024-12-14 00:05:09,69
2024-12-14 00:10:09,69
2024-12-14 00:15:09,69
2024-12-14 00:20:09,69
2024-12-14 00:25:09,69
2024-12-14 00:30:09,69
2024-12-14 00:35:09,68.5
2024-12-14 00:40:09,69
2024-12-14 00:45:09,68.5
2024-12-14 00:50:09,68.5
2024-12-14 00:55:09,69
2024-12-14 01:00:09,69
2024-12-14 01:05:09,68.5
2024-12-14 01:10:09,69
2024-12-14 01:15:09,69
2024-12-14 01:20:09,69
2024-12-14 01:25:09,69
2024-12-14 01:30:09,69
2024-12-14 01:35:09,69
2024-12-14 01:40:09,69
2024-12-14 01:45:09,69
2024-12-14 01:50:09,69
2024-12-14 01:55:09,69
2024-12-14 02:00:09,69
2024-12-14 02:05:09,69
2024-12-14 02:10:09,69
2024-12-14 02:15:09,69
2024-12-14 02:20:09,69
2024-12-14 02:25:09,69
2024-12-14 02:30:09,69
2024-12-14 02:35:09,68.5
2024-12-14 02:40:09,69
2024-12-14 02:45:09,69
2024-12-14 02:50:09,68.5
2024-12-14 02:55:09,68.5
2024-12-14 03:00:09,69
2024-12-14 03:05:09,69
2024-12-14 03:10:09,68.5
2024-12-14 03:15:09,69
2024-12-14 03:20:09,69
2024-12-14 03:25:09,69
2024-12-14 03:30:09,68.5
2024-12-14 03:35:09,69
2024-12-14 03:40:09,69
2024-12-14 03:45:09,68.5
2024-12-14 03:50:09,68.5
2024-12-14 03:55:09,69
2024-12-14 04:00:09,69
2024-12-14 04:05:09,68.5
2024-12-14 04:10:09,68.5
2024-12-14 04:15:09,69
2024-12-14 04:20:09,69
2024-12-14 04:25:09,68.5
2024-12-14 04:30:09,69
2024-12-14 04:35:09,69
2024-12-14 04:40:09,68.5
2024-12-14 04:45:09,68.5
2024-12-14 04:50:09,69
2024-12-14 04:55:09,69
2024-12-14 05:00:09,68.5
2024-12-14 05:05:09,69
2024-12-14 05:10:09,69
2024-12-14 05:15:09,68.5
2024-12-14 05:20:09,68.5
2024-12-14 05:25:09,69
2024-12-14 05:30:09,69
2024-12-14 05:35:09,68.5
2024-12-14 05:40:09,69
2024-12-14 05:45:09,69
2024-12-14 05:50:09,68.5
2024-12-14 05:55:09,69
2024-12-14 06:00:09,69
2024-12-14 06:05:09,69
2024-12-14 06:10:09,69
2024-12-14 06:15:09,69
2024-12-14 06:20:09,69
2024-12-14 06:25:09,69
2024-12-14 06:30:09,69
2024-12-14 06:35:09,69
2024-12-14 06:40:09,68.5
2024-12-14 06:45:09,69
2024-12-14 06:50:09,69
2024-12-14 06:55:09,69
2024-12-14 07:00:09,69
2024-12-14 07:05:09,69
2024-12-14 07:10:09,69
2024-12-14 07:15:09,69
2024-12-14 07:20:09,68.5
2024-12-14 07:25:09,68.5
2024-12-14 07:30:09,69
2024-12-14 07:35:09,69
2024-12-14 07:40:09,68.5
2024-12-14 07:45:09,69
2024-12-14 07:50:09,69
2024-12-14 07:55:09,69
2024-12-14 08:00:09,68.5
2024-12-14 08:05:09,69
2024-12-14 08:10:09,69
2024-12-14 08:15:09,68.5
2024-12-14 08:20:09,68.5
2024-12-14 08:25:09,69
2024-12-14 08:30:09,69
2024-12-14 08:35:09,68.5
2024-12-14 08:40:09,68.5
2024-12-14 08:45:09,69
2024-12-14 08:50:09,69
2024-12-14 08:55:09,69
2024-12-14 09:00:09,69
2024-12-14 09:05:09,69
2024-12-14 09:10:09,69
2024-12-14 09:15:09,69
2024-12-14 09:20:09,69
2024-12-14 09:25:09,69
2024-12-14 09:30:09,69
2024-12-14 09:35:09,68.5
2024-12-14 09:40:09,68.5
2024-12-14 09:45:09,69
2024-12-14 09:50:09,69
2024-12-14 09:55:09,68.5
2024-12-14 10:00:09,69
2024-12-14 10:05:09,69
2024-12-14 10:10:09,69
2024-12-14 10:15:09,68.5
2024-12-14 10:20:09,69
2024-12-14 10:25:09,69
2024-12-14 10:30:09,69
2024-12-14 10:35:09,68.5
2024-12-14 10:40:09,69
2024-12-14 10:45:09,69
2024-12-14 10:50:09,68.5
2024-12-14 10:55:09,68.5
2024-12-14 11:00:09,69
2024-12-14 11:05:09,69
2024-12-14 11:10:09,68.5
2024-12-14 11:15:09,68.5
