history:OCC_OZETTE_LIVING/A_TIER/Room Temperature
01-Dec-23 10:30 AM PST  to  01-Dec-24 1:16 PM PST

Timestamp,Trend Flags,Status,Value (°F)
"05-Dec-23 2:45:01 AM PST","{ }","{ok}","70.0 °F"
"05-Dec-23 3:00:01 AM PST","{ }","{ok}","70.0 °F"
"05-Dec-23 3:15:01 AM PST","{ }","{ok}","70.0 °F"
"05-Dec-23 3:30:01 AM PST","{ }","{ok}","70.0 °F"
"05-Dec-23 3:45:01 AM PST","{ }","{ok}","70.0 °F"
"05-Dec-23 4:00:01 AM PST","{ }","{ok}","70.0 °F"
"05-Dec-23 4:15:01 AM PST","{ }","{ok}","70.0 °F"
"05-Dec-23 4:30:01 AM PST","{ }","{ok}","70.0 °F"
"05-Dec-23 4:45:01 AM PST","{ }","{ok}","70.0 °F"
"05-Dec-23 5:00:01 AM PST","{ }","{ok}","70.0 °F"
